subsystem	function	visibility	stability	owner
kernel	stoleus_kernel_initialize	public	stable	kernel/kernel.sh
kernel	stoleus_kernel_bootstrap	public	stable	kernel/kernel.sh
kernel	stoleus_kernel_is_ready	public	stable	kernel/kernel.sh
kernel	stoleus_kernel_get_status	public	stable	kernel/kernel.sh
context	stoleus_context_set	public	experimental	kernel/context/context.sh
context	stoleus_context_get	public	experimental	kernel/context/context.sh
context	stoleus_context_contains	public	experimental	kernel/context/context.sh
context	stoleus_context_list	public	experimental	kernel/context/context.sh
context	stoleus_context_set_provider_override	public	experimental	kernel/context/context.sh
context	stoleus_context_get_provider_override	public	experimental	kernel/context/context.sh
context	stoleus_context_clear_provider_override	public	experimental	kernel/context/context.sh
context	stoleus_context_list_provider_overrides	public	experimental	kernel/context/context.sh
context	stoleus_context_get_generation	public	experimental	kernel/context/context.sh
context	stoleus_context_reset	public	experimental	kernel/context/context.sh
platform	stoleus_platform_detect	public	experimental	kernel/platform/platform.sh
platform	stoleus_platform_apply_context	public	experimental	kernel/platform/platform.sh
platform	stoleus_platform_refresh	public	experimental	kernel/platform/platform.sh
platform	stoleus_platform_get	public	experimental	kernel/platform/platform.sh
platform	stoleus_platform_get_status	public	experimental	kernel/platform/platform.sh
platform	stoleus_platform_reset	public	experimental	kernel/platform/platform.sh
metadata	stoleus_metadata_initialize	public	stable	kernel/metadata/collection.sh
metadata	stoleus_metadata_collection_create	public	stable	kernel/metadata/collection.sh
metadata	stoleus_metadata_collection_exists	public	stable	kernel/metadata/collection.sh
metadata	stoleus_metadata_collection_is_frozen	public	stable	kernel/metadata/collection.sh
metadata	stoleus_metadata_collection_append	public	stable	kernel/metadata/collection.sh
metadata	stoleus_metadata_collection_freeze	public	stable	kernel/metadata/collection.sh
metadata	stoleus_metadata_collection_contains	public	stable	kernel/metadata/collection.sh
metadata	stoleus_metadata_collection_get_index	public	stable	kernel/metadata/collection.sh
metadata	stoleus_metadata_collection_get_key_by_index	public	stable	kernel/metadata/collection.sh
metadata	stoleus_metadata_collection_get_field	public	stable	kernel/metadata/collection.sh
metadata	stoleus_metadata_collection_get_schema	public	stable	kernel/metadata/collection.sh
metadata	stoleus_metadata_collection_get_count	public	stable	kernel/metadata/collection.sh
metadata	stoleus_metadata_collection_list	public	stable	kernel/metadata/collection.sh
metadata	stoleus_metadata_collection_reset	public	stable	kernel/metadata/collection.sh
metadata	stoleus_metadata_reset	public	stable	kernel/metadata/collection.sh
discovery	stoleus_discovery_add_root	public	stable	kernel/discovery/discovery.sh
discovery	stoleus_discovery_scan	public	stable	kernel/discovery/discovery.sh
discovery	stoleus_discovery_get_records	public	stable	kernel/discovery/discovery.sh
discovery	stoleus_discovery_reset	public	stable	kernel/discovery/discovery.sh
definition	stoleus_definition_build_all	public	stable	kernel/definition/definition.sh
definition	stoleus_definition_get_records	public	stable	kernel/definition/definition.sh
definition	stoleus_definition_reset	public	stable	kernel/definition/definition.sh
plugin-manifest	stoleus_plugin_begin	dsl	stable	kernel/definition/providers/bash.sh
plugin-manifest	stoleus_plugin_description	dsl	stable	kernel/definition/providers/bash.sh
plugin-manifest	stoleus_plugin_implementation	dsl	stable	kernel/definition/providers/bash.sh
plugin-manifest	stoleus_plugin_dependencies	dsl	stable	kernel/definition/providers/bash.sh
plugin-manifest	stoleus_plugin_capabilities	dsl	stable	kernel/definition/providers/bash.sh
plugin-manifest	stoleus_plugin_requires_services	dsl	experimental	kernel/definition/providers/bash.sh
plugin-manifest	stoleus_plugin_provides_service	dsl	experimental	kernel/definition/providers/bash.sh
plugin-manifest	stoleus_plugin_service_operation	dsl	experimental	kernel/definition/providers/bash.sh
plugin-manifest	stoleus_plugin_service_condition	dsl	experimental	kernel/definition/providers/bash.sh
plugin-manifest	stoleus_plugin_lifecycle	dsl	stable	kernel/definition/providers/bash.sh
plugin-manifest	stoleus_plugin_end	dsl	stable	kernel/definition/providers/bash.sh
registry	stoleus_registry_contains	public	stable	kernel/registry/registry.sh
registry	stoleus_registry_get_index	public	stable	kernel/registry/registry.sh
